# GENERATED by scripts/vocabulary-registry.cjs — do not hand-edit.
# Provenance is declared in shared/vocabularies/authorities.tsv; everything else is derived.
# consumers counts files referencing the vocabulary OR its derived type, outside its own file.
#
name	file	form	values	hash	derivedType	consumers	authority	citation
TASK_OWNER_ROLES	shared/schema/underwritingTasks.ts	array	8	81080fa4875f	TaskOwnerRole	1	internal	
TASK_PRIORITIES	shared/schema/underwritingTasks.ts	array	4	55671b38ac76	TaskPriority	7	internal	
TASK_STATUSES	shared/schema/underwritingTasks.ts	array	5	d83f5079ce63	TaskStatus	4	internal	
TASK_TRIGGER_SOURCES	shared/schema/underwritingTasks.ts	array	6	74d0bb9c1615	TaskTriggerSource	0	internal	
TASK_TYPE_CODES	shared/schema/underwritingTasks.ts	array	80	25bbc3d42874	TaskTypeCode	2	internal	
TASK_VERIFICATION_STATUSES	shared/schema/underwritingTasks.ts	array	4	88be9f50eec4	TaskVerificationStatus	1	internal	
TAX_FORM_TYPES	shared/taxFormExtraction.ts	array	15	a183945f9bf1	TaxFormType	7	internal	
TERMINAL_TASK_STATUSES	shared/schema/underwritingTasks.ts	array	2	49c173241bf3		3	internal	
THRESHOLD_CATEGORIES	shared/schema/underwritingConditions.ts	array	8	a804bfb026be	ThresholdCategory	0	internal	
TOLERANCE_BUCKETS	shared/compliance/feeTolerance.ts	array	3	b5b6efc5ea7f	ToleranceBucket	1	internal	
TRANSACTION_PURPOSES	shared/loanProducts.ts	array	4	40e5ca24ce12	TransactionPurpose	3	internal	
TRANSITION_TRIGGERS	shared/schema/intelligence.ts	array	20	948b2fa41984	TransitionTrigger	3	internal	
UNDERWRITING_ACTION_TYPES	shared/schema/underwritingFinancials.ts	array	7	68d978a08fd0		0	internal	
UNDERWRITING_TRIGGER_TYPES	shared/schema/underwritingFinancials.ts	array	8	23cda46d7ebc		1	internal	
URLA_LIABILITY_TYPES	shared/liabilityTypes.ts	array	8	4b00733e0da1	UrlaLiabilityTypeLabel	3	internal	
UrlaRowSection	shared/lib/urlaRowContent.ts	union	4	9300fecad005		1	internal	
YesNoUnknownType	shared/mismo.ts	union	3	4d9e819e9547		0	uldd-spec	
